,ward,wardLat,wardLong,venue,venueLat,venueLong,venueCat
15765,Noel Park,51.594665013513506,-0.1058154144144144,The Raw Virgin Hair Boutique,51.6007179,-0.0966273,Health & Beauty Service
15766,Noel Park,51.594665013513506,-0.1058154144144144,Meyhaneci,51.5980370474676,-0.09308624890353302,Bar
15767,Noel Park,51.594665013513506,-0.1058154144144144,Platform 1,51.58660509270548,-0.11139957374194584,Platform
15768,Noel Park,51.594665013513506,-0.1058154144144144,White Hart Lane Community Sports Centre,51.60330562017008,-0.10305888541311259,Stadium
15769,Noel Park,51.594665013513506,-0.1058154144144144,Malabar Hut,51.58732308335315,-0.09796500205993652,Indian Restaurant
15770,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Costa Coffee,51.4088,-0.122065,Coffee Shop
15771,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,The Moon Under Water (Wetherspoon),51.407142334672315,-0.1214264999360274,Pub
15772,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Lahore Kebab House,51.4136157999154,-0.12448073364856467,Pakistani Restaurant
15773,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Norbury Park,51.41232326369359,-0.11690139770507812,Park
15774,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Iceland,51.40930699067813,-0.12225969033067617,Grocery Store
15775,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Lidl,51.4145466336331,-0.123521627071194,Supermarket
15776,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Steakout,51.4100600900515,-0.12236454459165229,Steakhouse
15777,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Superdrug,51.4105315435005,-0.12206362730910875,Pharmacy
15778,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Domino's Pizza,51.407631528933805,-0.12166922084941234,Pizza Place
15779,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Norbury Cafe & Restaurant,51.40736537991646,-0.12154190654563951,Breakfast Spot
15780,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Co-op Food,51.41041767499,-0.1229916785598937,Grocery Store
15781,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,O Cappuccino,51.4097046,-0.122394,Café
15782,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Mirch Masala,51.410319960107095,-0.12254610749238208,Indian Restaurant
15783,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Tesco Express,51.40982962700099,-0.11734823655612937,Grocery Store
15784,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Cafe Nomad,51.40819536793233,-0.11447174200847852,Mediterranean Restaurant
15785,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Norbury Brook,51.40428220780473,-0.11286427629112435,River
15786,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Norbury Hall Park,51.404304683655226,-0.1128208765933799,Park
15787,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,Richmond Food & Wine,51.40428381461101,-0.1128017724630349,Convenience Store
